0	438
1	1945
2	1945
2	722
3	472
3	1120
3	2250
4	1322
5	2437
6	289
7	3852
7	3381
8	1568
9	3355
9	1149
10	2898
11	3951
12	1742
13	3041
14	468
15	1809
16	1216
17	1216
18	972
19	1890
20	110
21	3871
22	110
22	1066
23	3816
24	3759
25	891
26	1168
27	632
28	2281
29	2353
30	2760
31	4032
32	2914
33	1358
34	242
35	1827
36	1827
37	113
38	1252
38	1680
39	3340
40	909
40	1828
41	3225
41	613
41	1562
42	3225
42	613
42	1562
43	909
43	1828
44	844
45	99
46	99
46	2092
47	1987
47	1387
48	1987
48	1387
49	2648
50	470
51	3209
52	497
53	435
54	3191
55	208
56	3733
57	1771
58	3991
59	3826
60	840
61	840
62	3376
62	481
63	2999
64	2817
65	2817
66	3506
67	3506
68	3506
69	2922
70	2109
70	1428
71	3506
72	2522
73	3733
74	613
75	295
76	1017
77	999
78	999
78	2143
79	2531
80	852
81	2801
82	2143
83	18
84	1236
85	18
86	3382
87	1196
88	3120
89	3561
90	1398
91	4018
92	2858
93	1077
94	1581
95	1213
96	794
97	794
98	891
99	794
100	794
100	865
101	794
102	1120
103	2922
103	794
104	339
105	339
105	3869
105	100
106	2898
106	339
106	1902
107	1143
108	2307
108	1811
109	3670
109	3382
110	2018
111	1426
112	2018
112	2348
112	1790
113	3096
114	3723
115	3723
116	3723
117	1252
117	3723
118	2563
119	1011
120	3646
121	3646
121	376
122	3253
123	3381
124	2147
125	622
126	1943
127	3383
128	339
129	3383
130	3253
130	3775
130	3199
131	151
132	794
132	2265
133	794
133	2265
134	3753
135	548
136	548
137	763
137	548
138	383
138	1895
139	756
140	3457
141	2081
142	864
143	1144
143	3240
144	1322
144	3522
145	852
146	1416
147	24
147	2354
148	1816
149	482
150	482
151	482
152	1196
153	1149
153	1196
154	2425
155	3355
155	1149
156	707
157	3764
158	3764
159	2700
160	2367
161	2367
162	2563
162	2367
163	3639
164	2626
165	966
166	3153
167	470
167	3682
168	1045
169	54
170	54
171	54
172	54
173	54
174	54
174	2393
175	376
175	54
176	54
177	3391
178	1498
179	2048
180	2627
181	2949
182	1130
183	3401
184	2099
184	1526
185	2188
186	2188
187	2301
188	2301
189	3764
189	280
190	1424
191	1529
192	1529
193	3522
193	782
194	2609
195	3771
196	651
197	59
198	3926
199	2328
199	3416
200	2328
201	3869
201	1256
202	1918
203	1918
204	1918
204	3137
205	1918
205	2922
206	1918
206	2922
207	1918
207	2922
208	1918
208	2922
209	1918
209	2922
210	1918
210	2922
211	2425
211	3002
212	3911
213	3811
214	3811
215	3811
216	3811
217	2043
218	2043
219	190
220	190
221	190
222	190
223	190
224	1901
225	1797
226	3926
227	6
228	1811
229	1235
229	2146
230	3627
231	2355
232	3747
233	626
234	694
235	3270
236	2099
236	140
237	2099
238	474
238	1409
239	3137
240	1719
241	1719
241	777
242	3340
243	308
244	2097
245	3340
246	3340
246	2040
247	3416
248	966
249	622
250	622
251	1817
252	966
253	3178
254	553
255	553
256	3188
257	1066
258	415
259	3179
260	642
261	426
262	2131
262	426
263	1800
263	3881
264	340
265	140
266	2515
267	25
268	327
268	697
269	327
269	697
270	3874
271	3509
272	3509
273	2841
274	2841
274	1058
275	1216
276	1216
277	3453
278	1168
278	1861
279	138
279	3748
280	3252
281	3252
282	1953
283	3509
283	581
284	1774
285	1774
286	606
286	1857
287	2061
288	287
289	298
290	2882
291	144
292	1319
292	3108
293	1319
293	3108
294	1319
294	3108
295	3714
296	1875
296	663
297	663
298	1066
299	2422
300	1407
301	1875
301	3856
301	2665
302	1387
302	1000
303	1387
303	1000
304	1373
305	1373
306	1373
307	1373
307	2517
308	3591
309	385
310	289
311	1132
312	1132
312	985
313	2365
314	2365
315	2365
316	1937
317	2302
317	2834
318	3653
319	2480
320	981
321	2466
321	1189
322	2466
323	1883
324	1883
325	1252
326	1252
326	3052
327	2131
328	2131
328	426
328	3644
328	2286
329	2759
330	3528
331	3561
331	671
331	172
332	146
333	146
334	3310
335	3865
336	3865
337	859
337	215
338	2898
339	1373
340	1373
341	3504
342	2649
343	470
344	3951
344	1422
345	2352
346	1026
347	3406
348	3406
349	3406
350	3406
351	3186
352	3622
353	1387
354	1491
354	1561
355	1026
356	2551
357	2551
358	2592
359	3007
360	2299
361	3985
362	1701
363	338
